voice_group_id,name,member_character_ids,gender,age_group,role,personality_traits,speakable_line_count,generation_status,review_reasons,voice_design_prompt
233ce0681b9d5e54,宇文逸,1 | 25,male,young_adult,unknown,谨慎 | 观察力强 | 有责任感,13299,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性，声音清朗，带有少年人的活力与沉稳，语速适中，咬字清晰，情绪表达自然，在思考或推理时语速稍缓，语气认真。
1c6001f7cd61fa9f,冷无情,11509,male,middle_aged,六扇门四大神捕之首,沉稳 | 睿智 | 病弱 | 谋略过人,925,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性神捕，声音低沉，语速缓慢，音色沙哑带虚弱感，咬字清晰文雅，情绪冷静克制，透出病弱但睿智的气质。
9eb425cfb5ca934d,李元兴,7502,male,middle_aged,丐帮执法长老,谋略 | 谨慎 | 谦逊,901,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性，声音温润，语速中等，咬字清晰，情绪底色沉稳睿智，体现丐帮执法长老的谋略与谦逊。
08f0c9f2c84f3729,莫问,5015 | 5002 | 45311,male,young_adult,武当大师兄,端方 | 照顾师弟,810,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位成年男性武当大师兄，声音清朗正直，语速适中，咬字清晰，语气沉稳，对师弟关怀，有侠义风范。
a0f074bd7900188d,欧阳雪,17005 | 6002,female,young_adult,名剑山庄庄主之女,文静 | 聪慧 | 淡泊,739,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，声音清亮柔和，语速较慢，咬字清晰温婉，情绪底色平静，有时透出忧郁，说话简洁但富有内涵。
7b8f3b33e20d053b,清虚道长,5003 | 19000,male,elderly,武当掌门,沉稳 | 和善,722,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性武林长者，声音低沉温厚，语速缓慢，咬字清晰稳重，情绪平和克制，带有掌门威严和长者风范。
e986afff9d36d954,步微月,19830 | 19842,female,young_adult,游仙岛少女,聪慧 | 古怪 | 洒脱,710,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，音高较高，音色清亮，语速中等，力度中等，咬字清晰，情绪底色灵动，带有聪慧和古怪的气质。
250ef8186db53b28,瑶姬,17115,female,young_adult,玄火教玄阳护法,乖张 | 爱憎分明 | 直率,671,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性武林护法，声音清亮，音调中等，语速中等，说话语气多变，时而俏皮，时而狠厉，情绪鲜明。
5f71c70b418d51c9,冷鹰,8001 | 17109,male,young_adult,assassin,冷峻 | 寡言 | 重情义,629,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性刺客，声音清冷低沉，语速缓慢，话语简短，咬字清晰，情绪内敛，带有江湖杀手的疏离感，但在提及师父或同伴时语气会稍显柔和。
8d1d08931a0bbee0,飞蝎使-娜乌,8506,female,young_adult,五灵使,热情 | 直率 | 忠诚,623,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，声音明亮温暖，音调中等，语速中等，语气热情直率，自称娜乌，带有苗疆口音，情绪真诚，在忧虑时语气会变得低沉。
d1c2dc2ddecfae75,吕仙儿,17012,female,young_adult,吕家小姐,好武 | 聪慧 | 直率,587,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性，声音清亮，语速适中，咬字清晰有力，情绪底色自信和好奇，说话带有英气。
5c09df7edadf9a70,蓝孔雀,8510,female,adult,代教主,沉稳 | 睿智 | 威严,567,ready,,确定人物设定：成年女性角色，声线必须保持这一年龄与性别呈现。一位成年女性，声音醇厚，音调中等，语速较慢，语气沉稳威严，咬字清晰稳重，带有教主身份的庄重感。
398ca97d397d8739,旁白,2 | wsvoice_narrator,male,middle_aged,narrator,客观 | 中立,553,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中性的叙述者，声音平稳，语速适中，不带明显情感色彩，咬字清晰，用于游戏旁白。
f24c41560dc88433,清霄道长,5006,male,elderly,武当长老,火爆 | 嫉恶如仇,521,ready,,确定人物设定：老年男性角色，声线必须保持这一年龄与性别呈现。一位老年男性武林长老，声音浑厚有力，语速较快，咬字干脆利落，情绪激昂，带有火爆脾气和嫉恶如仇的侠义感。
4a72818a0f3ebeef,商葶苧,10309 | 19967,female,young_adult,杏林会首席、药圣传人,聪慧 | 淡泊 | 谨慎,492,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性医者，声音清亮柔美，音调中等，语速适中，咬字清晰，带有医者的温润与从容，情绪平和，偶尔流露关切，有江湖侠女的英气。
acfacdeb225f991a,涤罪僧,5513,male,middle_aged,少林寺杀生戒持有者,深沉 | 坚毅 | 慈悲,426,ready,,确定人物设定：中年男性角色，声线必须保持这一年龄与性别呈现。一位中年男性僧人，声音低沉沙哑，语速缓慢，语气深沉慈悲，用词精炼，带有背负罪业的沉重感与坚定。
66aa4ed87e86ec1a,上官虹,10268,female,young_adult,女侠,年少成名 | 剑法精妙 | 有责任感,370,ready,,确定人物设定：青年女性角色，声线必须保持这一年龄与性别呈现。一位年轻女性侠客，声音中等音高，音色清亮，语速中等，能量中等，语气文雅有礼，咬字清晰，带有自信和侠气。
b4bb9bd9111fd29d,莫弃,5029 | 5012,male,young_adult,武当三师兄,急躁 | 关心师弟 | 直率,369,ready,,确定人物设定：青年男性角色，声线必须保持这一年龄与性别呈现。一位年轻男性武当弟子，声音清朗，语速偏快，语气直率急躁，但透露出对师弟的关心，咬字干脆，情绪外放。
